seq_code	Collection	spp	pop	collection_date	country	lat	lon
L77	Warwick	bienne	W72	NA	Greece	39.1049995422363	21.2147216796875
L78	Warwick	bienne	W74	NA	Greece	39.1236114501953	22.0236110687256
L79	Warwick	bienne	W76	NA	Greece	39.9155540466309	21.7997226715088
L80	Warwick	bienne	W77	NA	Greece	40.0875015258789	21.7222213745117
L81	Warwick	bienne	W81	NA	Greece	40.5236129760742	23.9347229003906
L82	Warwick	bienne	W82	NA	Greece	40.5911102294922	23.8038883209229
L83	Warwick	bienne	W85	NA	Bulgaria	41.8166656494141	23.950834274292
L84	Warwick	bienne	W88	NA	Bulgaria	42.7444458007812	27.8374996185303
L85	Warwick	bienne	W94	NA	Croatia	45.2188873291016	18.3238887786865
L86	Warwick	bienne	W95	NA	Croatia	45.3922233581543	16.3152770996094
L87	Warwick	bienne	W96	NA	Croatia	45.6141662597656	15.430832862854
L88	KewHerb	narbonense	DNABANK19667	NA	NA	NA	NA
L89	KewHerb	bienne	CANARIAS_K	NA	Canary_Islands	28.481193	-16.252668
L90	KewHerb	bienne	MADEIRA_K	NA	Madeira	32.701054	-17.027567
L91	KewHerb	bienne	CYPRUS_K	NA	Cyprus	35.145049	32.695634
L92	KewHerb	bienne	TURKEY_K	NA	Turkey	37.057936	27.373781
L93	KewHerb	bienne	IRANM_1955	1955	Iran	36.64353	51.538656
L94	KewHerb	bienne	IRAN_1963	1963	Iran	36.686842	51.407487
L95	KewHerb	bienne	LEBANON	NA	Lebanon	33.732677	35.793338
L96	KewHerb	bienne	LA_SPEZIA	NA	Italy	44.075694	9.784226
