L10	0.0000000000	0.0133478988	0.1470665816	0.1475966640	0.3197021014	0.3142770128	0.3289804900	0.4584383044	0.3331610642	0.4238788378	0.3318572883	0.3315786896	0.3171992798	0.3274857145	0.2859058001	0.3254691237	0.3198903825	0.3232777953	0.3193799917	0.3093597632	0.4272817264	0.3332098923	0.3311841599	0.3281141026	0.3195559274	0.3319963325	0.3300532473	0.3285801979	0.3251091374	0.3270119189	0.3246501985	0.4287237946	0.3218933348	0.3868243629	0.1200747585	0.1247503555	0.1335291803	0.1390205626	0.1366731325	0.1298990692	0.1310839902	0.1339337854	0.1364480763	0.1275061701	0.1290518464	0.1315921034	0.1309115044	0.1347035055	0.1328106113	0.1350970814	0.3228749470	0.1269972056	0.1378117635	0.1348324828	0.1346791175	0.1284689256	0.3214445784	0.1333528400	0.1413402541	0.1387205086	0.1336627927	0.1305575728	0.3813312560	0.3904518380	0.1407432839	0.2605853186	0.2592379208	0.2612242719	0.2568959330	0.2556346207	0.1593134546	0.2312106136	0.2285721162	0.1967804082	0.1980086592	0.1315718015	0.1982795159	0.1848539293	0.1885304642	0.1860579200	0.3525610463	0.1314637884	0.1516528540	0.1392670598	0.3157930958	0.3156126780	0.3118212574	0.3060604235	0.2593047859	0.2087719652	0.2229295865	0.2361998431	0.2183648148	0.1415724848	0.3133874140	0.4933209267	0.3453086907	0.1399312430
L11	0.0133478988	0.0000000000	0.1437022191	0.1454621674	0.3160450925	0.3108678390	0.3257785594	0.4570471534	0.3275335361	0.4203085902	0.3241195755	0.3285741772	0.3142158852	0.3198450414	0.2645816603	0.3283916142	0.3272719773	0.3238983391	0.3192436116	0.3052377866	0.4313507739	0.3308369927	0.3236476845	0.3270237805	0.3145412752	0.3297681496	0.3277409852	0.3249669682	0.3226973833	0.3195267906	0.3242753861	0.4245560484	0.3214000110	0.3931644683	0.1168480065	0.1247153335	0.1337268566	0.1373158557	0.1361859075	0.1304461866	0.1269314652	0.1282377002	0.1307653945	0.1246036172	0.1251995556	0.1299596480	0.1256672204	0.1306408846	0.1271411307	0.1354994457	0.3244841560	0.1212559517	0.1331715653	0.1298463828	0.1352672849	0.1290411281	0.3190519306	0.1343766766	0.1368548916	0.1363446886	0.1306399769	0.1279276188	0.3836605429	0.3957040713	0.1356775538	0.2532653954	0.2507643172	0.2530732054	0.2521498196	0.2522366620	0.1613809307	0.2258712366	0.2244163986	0.1967783800	0.1929205660	0.1277686462	0.1950267958	0.1920397644	0.1813769177	0.1832832165	0.3358866181	0.1265361233	0.1534085366	0.1358987193	0.3195379542	0.3148666301	0.3118073464	0.3160012047	0.2498188343	0.1993797790	0.2293782447	0.2342105914	0.2158321651	0.1379848807	0.3127454350	0.4953270051	0.3438586862	0.1375886366
L12	0.1470665816	0.1437022191	0.0000000000	0.0129228408	0.3772968028	0.3668324493	0.3788405890	0.4415452349	0.3781462594	0.4143386186	0.3816193324	0.3831999099	0.3714056360	0.3768499836	0.3275761685	0.3809350148	0.3715509901	0.3831969509	0.3715904155	0.3608636572	0.4218420369	0.3909333495	0.3827168617	0.3823431779	0.3722529738	0.3826776137	0.3776771523	0.3821205509	0.3781276117	0.3809141525	0.3814981991	0.4086093500	0.3755692339	0.3804576631	0.0846615804	0.0898011215	0.0803975306	0.0757491045	0.0783271795	0.0863529490	0.0687513256	0.0881923895	0.0872724034	0.0720478642	0.0772310011	0.0826673359	0.0883109866	0.0893675151	0.0889627383	0.0891500950	0.3770763402	0.0698588627	0.0864655219	0.0840881265	0.1368120759	0.1365633211	0.3735527509	0.1390014968	0.0862434452	0.0872038540	0.0893748216	0.0889968217	0.3762555987	0.3817289750	0.0920751208	0.2260974802	0.2252383601	0.2243222287	0.2258061579	0.2248093599	0.0976065101	0.1850102436	0.1880738967	0.1378185816	0.1369912221	0.0889520571	0.1382301066	0.1265919364	0.1260617123	0.1187274490	0.2975665801	0.0927216136	0.0948718052	0.0786041613	0.3244914055	0.3688538141	0.3685450480	0.3503185726	0.2563692668	0.1611062142	0.1994440512	0.1981480836	0.1655487916	0.0797010283	0.3654732732	0.4831469312	0.4041832823	0.0842088402
L13	0.1475966640	0.1454621674	0.0129228408	0.0000000000	0.3809696972	0.3740594037	0.3806852977	0.4496047205	0.3812620974	0.4173385172	0.3746441429	0.3775926690	0.3703559739	0.3703823993	0.3098765461	0.3824006169	0.3731811610	0.3856117784	0.3705098904	0.3593533126	0.4302832839	0.3926558351	0.3820008621	0.3796397016	0.3734289569	0.3803696878	0.3744361181	0.3808596343	0.3773872900	0.3791682947	0.3787256624	0.4128015785	0.3721965209	0.3806152431	0.0865390775	0.0897553877	0.0768837749	0.0770233919	0.0796235703	0.0879057075	0.0702474194	0.0904337198	0.0895380781	0.0706985024	0.0768547740	0.0789551699	0.0879981371	0.0878904544	0.0888891425	0.0847684665	0.3725797100	0.0682688553	0.0842302389	0.0853280614	0.1351561764	0.1389859074	0.3711775607	0.1395315412	0.0825508048	0.0839141724	0.0905229332	0.0936755577	0.3811074494	0.3873403589	0.0894273741	0.2222755759	0.2265128819	0.2271510406	0.2256927707	0.2274907523	0.0920024568	0.1826652615	0.1850253979	0.1318221951	0.1365230971	0.0855325917	0.1323876408	0.1222387222	0.1206838504	0.1163875772	0.3112159794	0.0909784761	0.0919914506	0.0760307446	0.3096096808	0.3649020284	0.3676839995	0.3511727327	0.2554665323	0.1510691350	0.1920266450	0.2055735554	0.1619297994	0.0838316305	0.3695861372	0.4862899689	0.4023655170	0.0822557763
L14	0.3197021014	0.3160450925	0.3772968028	0.3809696972	0.0000000000	0.0327925407	0.1150890558	0.4748267280	0.1155382229	0.4352315710	0.1103378711	0.1140592040	0.1109741853	0.1195710717	0.1077769236	0.1125394530	0.1132147024	0.1139533629	0.1127246240	0.1156825537	0.4453023468	0.1327875230	0.1269806731	0.1269664085	0.1246366533	0.1294530244	0.1215442416	0.1319435264	0.1273773506	0.1226154478	0.1246386888	0.4355893942	0.1218256994	0.3950913223	0.3720927426	0.3696213284	0.3826889124	0.3705675963	0.3780782885	0.3804944700	0.3771051155	0.3777778965	0.3820667672	0.3773322773	0.3797541970	0.3897919692	0.3758938762	0.3742441166	0.3784653074	0.3784708152	0.1154833356	0.3828134517	0.3883501330	0.3779159284	0.3274198412	0.3313271007	0.1086825803	0.3245240807	0.3860187934	0.3898803065	0.3830230662	0.3693401600	0.3911023463	0.4077612412	0.3657549741	0.3617070975	0.3553807884	0.3539868386	0.3576757004	0.3613935068	0.3888879900	0.3770704420	0.3779175938	0.3851365521	0.3847556746	0.3683833861	0.3870818264	0.3879772568	0.3842079492	0.3879750166	0.3455332065	0.3731106768	0.3840690383	0.3765769908	0.3760630725	0.1125189216	0.1051302718	0.1198574149	0.2990078974	0.3443085132	0.3492497914	0.3614617099	0.3614188628	0.3880691544	0.1040861497	0.5028001617	0.1377124614	0.3934237094
L15	0.3142770128	0.3108678390	0.3668324493	0.3740594037	0.0327925407	0.0000000000	0.1114849876	0.4705829155	0.1125426266	0.4315080817	0.1102158196	0.1173167659	0.1168476529	0.1216631820	0.1117067954	0.1157211940	0.1120686587	0.1132376233	0.1149867955	0.1175907384	0.4461909010	0.1349260673	0.1299754500	0.1277139125	0.1243372166	0.1342640413	0.1280724604	0.1317698702	0.1267008973	0.1219786110	0.1208561461	0.4313871620	0.1235344341	0.3949280294	0.3693416469	0.3736720542	0.3785841531	0.3714473613	0.3774508322	0.3813615019	0.3743502050	0.3727890793	0.3831930223	0.3744633318	0.3819889971	0.3832682634	0.3731723411	0.3729553043	0.3781878956	0.3743335925	0.1131394584	0.3816205309	0.3819316352	0.3787691037	0.3252595171	0.3292132455	0.1126648462	0.3247301131	0.3815647683	0.3907079015	0.3814912838	0.3779915683	0.3902738538	0.3985391675	0.3656643952	0.3572504270	0.3549757274	0.3557263774	0.3551885779	0.3576895911	0.3820265430	0.3830002143	0.3805947586	0.3859168088	0.3806091467	0.3691113958	0.3872891906	0.3846639313	0.3818421636	0.3840085853	0.3657454365	0.3768975671	0.3809649358	0.3759211950	0.3517213521	0.1117295066	0.1052215112	0.1134492539	0.3012412874	0.3447470171	0.3577224041	0.3552833870	0.3657805893	0.3780531581	0.1049847286	0.5033995344	0.1387169488	0.3891270799
L17	0.3289804900	0.3257785594	0.3788405890	0.3806852977	0.1150890558	0.1114849876	0.0000000000	0.4795325721	0.0170608468	0.4372660583	0.1114770739	0.1192732595	0.1070978571	0.1189234304	0.1100362536	0.1091916125	0.1042008513	0.0954969531	0.1092304682	0.1112825922	0.4503564653	0.1333137252	0.1245844318	0.1252234067	0.1259760419	0.1305803752	0.1282652600	0.1244426528	0.1254198427	0.1150166223	0.1215486641	0.4358156508	0.1163615675	0.4063650320	0.3716780310	0.3810437020	0.3960919927	0.3834634433	0.3844644156	0.3853138410	0.3865187902	0.3811337895	0.3880208196	0.3867877467	0.3949925000	0.3943220255	0.3841300439	0.3828681942	0.3847830861	0.3809297075	0.1013023785	0.3899942525	0.3926028650	0.3838308048	0.3352198813	0.3394504860	0.1024372477	0.3302156146	0.3853067056	0.3970583214	0.3894750820	0.3908511228	0.3953785971	0.4051864217	0.3707840460	0.3693479608	0.3694123718	0.3644366892	0.3648698884	0.3655306728	0.3911493659	0.3847322076	0.3852027246	0.3946453205	0.3871180218	0.3752225921	0.3911849252	0.3848211819	0.3887962101	0.3927507964	0.3989409214	0.3892718135	0.3890543335	0.3831946633	0.3434911532	0.1103533519	0.1144622209	0.1197596693	0.3015319000	0.3400760779	0.3640365838	0.3665570332	0.3724710701	0.3901636206	0.1185250069	0.5113381173	0.1381483896	0.3960492193
L18	0.4584383044	0.4570471534	0.4415452349	0.4496047205	0.4748267280	0.4705829155	0.4795325721	0.0000000000	0.4888872057	0.0735651377	0.4670535144	0.4698229651	0.4750548309	0.4743729412	0.4147040213	0.4716113691	0.4720033631	0.4626651549	0.4737573677	0.4556516318	0.0701341205	0.4991775123	0.4853301978	0.4851418379	0.4711946847	0.4676544960	0.4653558237	0.4645755382	0.4718604516	0.4688630144	0.4681200317	0.0716655963	0.4834782401	0.2491643389	0.4439940425	0.4456219574	0.4505900917	0.4391996431	0.4433079322	0.4572804341	0.4490509919	0.4485492408	0.4496410526	0.4548517935	0.4405834620	0.4514985888	0.4512844607	0.4472791772	0.4539704524	0.4478424569	0.4775154607	0.4430955898	0.4494514385	0.4501250235	0.4534821041	0.4548750758	0.4666076771	0.4462775582	0.4489753105	0.4559075094	0.4496558762	0.4539560610	0.2591271924	0.2461222124	0.4532282633	0.4347759956	0.4293060213	0.4299380442	0.4260446570	0.4340162534	0.4555589401	0.4540967539	0.4473926189	0.4603806815	0.4585711209	0.4445054559	0.4635426557	0.4465406054	0.4504302493	0.4562876633	0.4047128142	0.4514078437	0.4425076974	0.4505609054	0.4343259304	0.4615300708	0.4693781439	0.4434205861	0.3764601273	0.4661036519	0.4238190310	0.4262537302	0.4246980305	0.4364523810	0.4747187280	0.0140441911	0.5109095364	0.4564375781
L19	0.3331610642	0.3275335361	0.3781462594	0.3812620974	0.1155382229	0.1125426266	0.0170608468	0.4888872057	0.0000000000	0.4418543704	0.1102276436	0.1175636925	0.1107251805	0.1201284313	0.1067970747	0.1113979281	0.0987054027	0.0940591878	0.1088344898	0.1136860238	0.4571224436	0.1333676545	0.1271011325	0.1234933119	0.1254021763	0.1332962281	0.1235229845	0.1241808231	0.1254534274	0.1127371896	0.1211459213	0.4413913500	0.1164234465	0.4095933304	0.3756769170	0.3779784598	0.3892869308	0.3835016452	0.3863066346	0.3851596191	0.3841922643	0.3805692778	0.3810544382	0.3859131870	0.3874570145	0.3871087447	0.3863022174	0.3889187127	0.3913625604	0.3797659998	0.1001639613	0.3863100246	0.3893712173	0.3849748779	0.3366351069	0.3395558423	0.0996816888	0.3324258297	0.3866905353	0.3946929813	0.3849103271	0.3849445988	0.4026426949	0.4108101968	0.3728496058	0.3746883465	0.3681059079	0.3646524761	0.3689346758	0.3720703060	0.3909594756	0.3836839644	0.3891095387	0.3965465042	0.3918681823	0.3798043263	0.3943587283	0.3814860687	0.3893294415	0.3977947684	0.3779091333	0.3876606657	0.3917871906	0.3879191246	0.3356674205	0.1140934122	0.1157163847	0.1196176063	0.3057407641	0.3440208557	0.3679962693	0.3690412527	0.3747619059	0.3862238712	0.1105831882	0.5193385387	0.1398102294	0.3980258329
L1	0.4238788378	0.4203085902	0.4143386186	0.4173385172	0.4352315710	0.4315080817	0.4372660583	0.0735651377	0.4418543704	0.0000000000	0.4310476512	0.4317875767	0.4351908986	0.4375597729	0.3964142280	0.4334476692	0.4297326594	0.4385326273	0.4330149649	0.4286854016	0.0334835189	0.4526033704	0.4466390449	0.4408007313	0.4369597804	0.4300600314	0.4303431183	0.4321307425	0.4311417121	0.4348466690	0.4335697005	0.0355680473	0.4425810738	0.2264225828	0.4163951587	0.4084164249	0.4133353363	0.4053135147	0.4140737881	0.4158351681	0.4103741094	0.4235869587	0.4115917799	0.4122948960	0.4024351259	0.4066173483	0.4204523325	0.4158521817	0.4204869408	0.4082440237	0.4450321014	0.4076474665	0.4066068342	0.4087952785	0.4235466642	0.4111626956	0.4313513786	0.4091036385	0.4145447755	0.4173973214	0.4129910038	0.4169104625	0.2381214884	0.2261025723	0.4189310829	0.3972597615	0.4049627710	0.3985576030	0.3965157841	0.3981136315	0.4173963297	0.4106679894	0.4161604153	0.4268491501	0.4251523323	0.4098466210	0.4275934354	0.4082582992	0.4207743523	0.4219354054	0.3914881678	0.4180122694	0.4130165715	0.4093213791	0.4315889002	0.4393839777	0.4283353582	0.4197672702	0.3521306498	0.4138959077	0.3732259745	0.3953734526	0.3929798176	0.4051992950	0.4326040418	0.0777200183	0.4674704936	0.4230646634
